Algorithm,City count,Seed,Best distance,Runtime,Number of evaluations,Final route,History file
ILS,50,43,570.3720306350036,4.674025799999072,100000,"[41, 18, 7, 2, 49, 28, 29, 20, 13, 32, 8, 23, 11, 42, 30, 9, 48, 19, 47, 46, 1, 43, 37, 4, 22, 45, 33, 36, 3, 21, 5, 16, 34, 0, 12, 27, 26, 17, 25, 40, 44, 31, 6, 35, 38, 14, 10, 15, 24, 39]",histories/ILS_50_cities_seed_43.json.gz
ILS,50,44,580.8516855286264,4.267494200001238,100000,"[31, 44, 40, 25, 17, 26, 27, 0, 34, 16, 5, 21, 3, 36, 33, 45, 22, 12, 4, 37, 43, 1, 46, 47, 19, 48, 23, 8, 32, 13, 20, 29, 28, 49, 2, 7, 11, 42, 9, 30, 39, 18, 41, 24, 15, 10, 14, 38, 35, 6]",histories/ILS_50_cities_seed_44.json.gz
GA,50,44,583.1627534654064,16.951264499999525,100000,"[25, 40, 44, 31, 6, 35, 38, 14, 10, 15, 24, 9, 30, 39, 41, 18, 7, 2, 49, 28, 29, 42, 11, 20, 13, 23, 8, 32, 22, 45, 33, 36, 3, 21, 5, 16, 34, 0, 27, 12, 4, 48, 19, 47, 46, 1, 43, 37, 26, 17]",histories/GA_50_cities_seed_44.json.gz
GA,50,45,611.0663333190398,14.532486300005985,100000,"[38, 35, 6, 31, 19, 47, 44, 40, 46, 1, 43, 37, 25, 17, 26, 27, 0, 12, 4, 48, 9, 42, 11, 23, 8, 32, 13, 22, 33, 16, 34, 5, 21, 3, 36, 45, 20, 29, 28, 49, 2, 7, 18, 41, 39, 30, 24, 15, 10, 14]",histories/GA_50_cities_seed_45.json.gz
ILS,50,45,580.2513878590074,4.136510600001202,100000,"[22, 33, 16, 34, 5, 21, 3, 36, 45, 20, 29, 28, 49, 2, 7, 18, 41, 39, 42, 11, 30, 9, 24, 15, 10, 14, 38, 35, 6, 31, 44, 40, 25, 17, 26, 27, 0, 12, 4, 37, 43, 1, 46, 47, 19, 48, 23, 8, 32, 13]",histories/ILS_50_cities_seed_45.json.gz
ILS,50,46,580.6324653442138,3.842917700007092,100000,"[26, 17, 25, 40, 44, 31, 6, 35, 38, 14, 10, 15, 24, 39, 41, 18, 7, 2, 49, 28, 29, 20, 11, 42, 30, 9, 48, 19, 47, 46, 1, 43, 37, 4, 12, 23, 8, 32, 13, 22, 45, 33, 36, 3, 21, 5, 16, 34, 0, 27]",histories/ILS_50_cities_seed_46.json.gz
GA,50,46,601.0351402421197,14.591537200001767,100000,"[19, 48, 23, 8, 32, 22, 12, 27, 0, 34, 16, 5, 21, 3, 36, 33, 45, 13, 20, 29, 28, 49, 2, 7, 11, 42, 9, 30, 39, 18, 41, 14, 10, 24, 15, 38, 35, 6, 31, 44, 40, 25, 17, 26, 37, 4, 43, 1, 46, 47]",histories/GA_50_cities_seed_46.json.gz
GA,50,47,576.7547305721768,16.755089600002975,100000,"[20, 29, 28, 49, 2, 7, 18, 41, 39, 30, 42, 11, 23, 8, 32, 22, 12, 4, 37, 43, 1, 46, 47, 19, 48, 9, 24, 15, 10, 14, 38, 35, 6, 31, 44, 40, 25, 17, 26, 27, 0, 34, 16, 5, 21, 3, 36, 33, 45, 13]",histories/GA_50_cities_seed_47.json.gz
ILS,50,47,582.9334791053562,4.723300500001642,100000,"[34, 0, 27, 26, 17, 25, 40, 44, 31, 6, 35, 38, 14, 10, 15, 24, 48, 19, 47, 46, 1, 43, 37, 4, 12, 8, 23, 11, 42, 9, 30, 39, 41, 18, 7, 2, 49, 28, 29, 20, 13, 32, 22, 45, 33, 36, 3, 21, 5, 16]",histories/ILS_50_cities_seed_47.json.gz
ILS,50,48,599.1050626304858,4.062689600003068,100000,"[48, 19, 47, 46, 1, 43, 4, 37, 26, 17, 25, 40, 44, 31, 6, 35, 38, 14, 10, 15, 24, 39, 41, 18, 7, 2, 49, 28, 29, 20, 11, 42, 30, 9, 23, 8, 32, 13, 22, 45, 33, 36, 3, 21, 5, 16, 34, 0, 27, 12]",histories/ILS_50_cities_seed_48.json.gz
